,Id,rest_name,Tag
181,182,Yeti - The Himalayan Kitchen, tibetan nepalese momos chinese beverages thecolonnade connaughtplace newdelhi
182,183,Havemore,khastaparatha butterchickenandnaan soyatikkamasala paneermethimalai makkekiroti masalapapad northindian mughlai beverages pandararoadmarket newdelhi
183,184,The Barbeque Company, northindian chinese bbq mughlai sector29 gurgaon
184,185,High Bae, chinese northindian continental italian mughlai satyaniketan newdelhi
185,186,Aslam Chicken,butterychicken tangdichicken butterfish firni chickenkebab roomaliroti northindian jamamasjid newdelhi
186,187,Time Machine, northindian continental chinese italian fingerfood gardensgalleria sector38noida noida
187,188,Walking Street, barfood asian northindian continental sector29 gurgaon
188,189,I Sacked Newton, northindian continental chinese italian thai mughlai streetfood desserts logixcitycentre sector32 noida noida
189,190,Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani,tandoorifruitchaat kurkuremushroom butterchickenandnaan chickenpakora thandai rasmalai northindian mughlai desserts seafood kebab biryani connaughtplace newdelhi
190,191,Sattvik, northindian fastfood desserts selectcitywalkmall saket newdelhi
191,192,Xero Degrees,raspberrycooler sliderburger chickenperiperifries redvelvetmilkshake chickenslider friedcheese cafe fastfood beverages desserts connaughtplace newdelhi
192,193,Biryani By Kilo, biryani hyderabadi mughlai kebab connaughtplace newdelhi
193,194,United Coffee House Rewind, northindian european asian mediterranean desserts cyberhub dlfcybercity gurgaon
194,195,Dhaba-  Estd 1986 Delhi,muttonbalti lasoonipalak raragosht daldhaba daalmakhini mixedvegetables mughlai biryani northindian desserts beverages aerocity newdelhi
195,196,Cafe Uncover,chilligarlicchowmein macncheese chillypotato cappuccino wings cheesecake cafe northindian chinese continental beverages sector12 dwarka newdelhi
196,197,Guppy,colourfulanimethemeandanassortmentofjapanesedelicacies asian japanese sushi chinese momos beverages lodhicolony newdelhi
197,198,Rigo Restaurant, momos pizza chinese italian thai tibetan asian beverages majnukatila newdelhi
198,199,Matchbox, american british continental salad hauzkhasvillage newdelhi
199,200,Desi Vibes, northindian mughlai kebab beverages connaughtplace newdelhi
200,201,Lord Of The Drinks Forum, continental northindian italian beverages epicuriafoodmall nehruplace newdelhi
201,202,Uncle's Sip & Bite,cheesypuffygarlicbread nachosalsa garlicbreadmozzarella caramelshake perifries dessertcounter fastfood beverages prashantvihar newdelhi
202,203,Ikk Panjab, northindian streetfood chinese mughlai desserts beverages rajourigarden newdelhi
203,204,Black Bottle + Kitchen,coktails biryanikabadshah jalapenocheeseballs liitcocktail cigarroll perifries fingerfood italian continental beverages sector63 noida
204,205,Rustique,nutellapastry summersalad cappuccinocoffee walnutpie mochacoffee orangemojito cafe bakery desserts italian beverages essexfarms adchini newdelhi
205,206,Drums of Heaven, chinese thai asian seafood desserts beverages greenpark newdelhi
206,207,Master Of Malts, northindian chinese continental fastfood salad beverages connaughtplace newdelhi
207,208,Soho Pizzeria,bananacaramelpancake nutellapancakes icedlatte hazelnutfrappe berrysmoothie englishbreakfast pizza saket newdelhi
208,209,Barrack 62 The Gastro Pub, northindian continental fastfood beverages sector62 noida
209,210,"C'est La Vie - Pizzas, Pastas & Burgers",flourlessfudgecake eggsbenedict healthybreakfast dessertcounter omelette pancakes cafe pasta pizza continental beverages bakery desserts burger sector50 gurgaon
210,211,Coffee Bond, cafe pizza fastfood salad sandwich burger desserts beverages mblockmarket greaterkailash1(gk1) newdelhi
211,212,Sambookas, cafe italian mexican northindian chinese desserts beverages delhiuniversity-gtbnagar newdelhi
212,213,Dasaprakash, southindian northindian chinese beverages desserts continental hajipur noida
213,214,Indus Flavour,rumalimasalapapad kadakroomali paneermakhmali kurkuremushroom fondue matarmushroom northindian chinese fastfood delhiuniversity-gtbnagar newdelhi
214,215,Paparizza-Woodfired Pizzas,lasagnapalermo texmexpizza mushroomcalzone pizzacalzone applepieshake garlicbreadmozzarella pizza italian fastfood bbq salad desserts beverages delhiuniversity-gtbnagar newdelhi
215,216,Tres,highendchef-drivenplacewithagourmeteuropeanspread european italian desserts beverages lodhicolony newdelhi
216,217,Big Yellow Door, cafe italian beverages desserts fastfood delhiuniversity-gtbnagar newdelhi
217,218,Ottimo At West View - ITC Maurya,exoticsalad risotto salmon sundaybrunch tiramisu lamb european italian itcmaurya chanakyapuri newdelhi
